symbol,instrument_token,sector,industry,company_name
OBEROIRLTY,5181953,Realty,Realty,Oberoi Realty Ltd.
OFSS,2748929,Information Technology,Information Technology,Oracle Financial Services Software Ltd.
OIL,4464129,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Oil India Ltd.
OLAELEC,6342913,Automobile and Auto Components,Automobile and Auto Components,Ola Electric Mobility Ltd.
OLECTRA,2723073,Automobile and Auto Components,Automobile and Auto Components,Olectra Greentech Ltd.
ONESOURCE,7481345,Healthcare,Healthcare,Onesource Specialty Pharma Ltd.
ONGC,633601,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Oil & Natural Gas Corporation Ltd.
PAGEIND,3689729,Textiles,Textiles,Page Industries Ltd.
PARADEEP,2493697,Chemicals,Chemicals,Paradeep Phosphates Ltd.
PATANJALI,4359425,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Patanjali Foods Ltd.
PAYTM,1716481,Financial Services,Financial Services,One 97 Communications Ltd.
PCBL,678145,Chemicals,Chemicals,PCBL Chemical Ltd.
PERSISTENT,4701441,Information Technology,Information Technology,Persistent Systems Ltd.
PETRONET,2905857,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Petronet LNG Ltd.
PFC,3660545,Financial Services,Financial Services,Power Finance Corporation Ltd.
PFIZER,676609,Healthcare,Healthcare,Pfizer Ltd.
PGEL,6491649,Consumer Durables,Consumer Durables,PG Electroplast Ltd.
PHOENIXLTD,3725313,Realty,Realty,Phoenix Mills Ltd.
PIDILITIND,681985,Chemicals,Chemicals,Pidilite Industries Ltd.
PIIND,6191105,Chemicals,Chemicals,PI Industries Ltd.
PINELABS,194513921,Financial Services,Financial Services,Pine Labs Ltd.
PIRAMALFIN,194445057,Financial Services,Financial Services,Piramal Finance Ltd.
PNB,2730497,Financial Services,Financial Services,Punjab National Bank
PNBHOUSING,4840449,Financial Services,Financial Services,PNB Housing Finance Ltd.
POLICYBZR,1703937,Financial Services,Financial Services,PB Fintech Ltd.
POLYCAB,2455041,Capital Goods,Capital Goods,Polycab India Ltd.
POLYMED,6583809,Healthcare,Healthcare,Poly Medicure Ltd.
POONAWALLA,2919169,Financial Services,Financial Services,Poonawalla Fincorp Ltd.
POWERGRID,3834113,Power,Power,Power Grid Corporation of India Ltd.
POWERINDIA,4724993,Capital Goods,Capital Goods,Hitachi Energy India Ltd.
PPLPHARMA,2962177,Healthcare,Healthcare,Piramal Pharma Ltd.
PREMIERENE,6412545,Capital Goods,Capital Goods,Premier Energies Ltd.
PRESTIGE,5197313,Realty,Realty,Prestige Estates Projects Ltd.
PTCIL,4270593,Capital Goods,Capital Goods,PTC Industries Ltd.
PVRINOX,3365633,Media Entertainment & Publication,Media Entertainment & Publication,PVR INOX Ltd.
PWL,194489089,Consumer Services,Consumer Services,Physicswallah Ltd.
RADICO,2813441,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Radico Khaitan Ltd
RAILTEL,622337,Telecommunication,Telecommunication,Railtel Corporation Of India Ltd.
RAINBOW,2408449,Healthcare,Healthcare,Rainbow Childrens Medicare Ltd.
RAMCOCEM,523009,Construction Materials,Construction Materials,The Ramco Cements Ltd.
RBLBANK,4708097,Financial Services,Financial Services,RBL Bank Ltd.
RECLTD,3930881,Financial Services,Financial Services,REC Ltd.
REDINGTON,3649281,Services,Services,Redington Ltd.
RELIANCE,738561,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Reliance Industries Ltd.
RHIM,7977729,Capital Goods,Capital Goods,RHI MAGNESITA INDIA LTD.
RITES,962817,Construction,Construction,RITES Ltd.
RKFORGE,2921217,Automobile and Auto Components,Automobile and Auto Components,Ramkrishna Forgings Ltd.
RPOWER,3906305,Power,Power,Reliance Power Ltd.
RRKABEL,4752897,Capital Goods,Capital Goods,R R Kabel Ltd.
RVNL,2445313,Construction,Construction,Rail Vikas Nigam Ltd.
SAGILITY,6925313,Information Technology,Information Technology,Sagility Ltd.
SAIL,758529,Metals & Mining,Metals & Mining,Steel Authority of India Ltd.
SAILIFE,7126785,Healthcare,Healthcare,Sai Life Sciences Ltd.
SAMMAANCAP,7712001,Financial Services,Financial Services,Sammaan Capital Ltd.
SAPPHIRE,1719809,Consumer Services,Consumer Services,Sapphire Foods India Ltd.
SARDAEN,4546049,Metals & Mining,Metals & Mining,Sarda Energy and Minerals Ltd.
SAREGAMA,1252353,Media Entertainment & Publication,Media Entertainment & Publication,Saregama India Ltd
SBFC,4614657,Financial Services,Financial Services,SBFC Finance Ltd.
SBICARD,4600577,Financial Services,Financial Services,SBI Cards and Payment Services Ltd.
SBILIFE,5582849,Financial Services,Financial Services,SBI Life Insurance Company Ltd.
SBIN,779521,Financial Services,Financial Services,State Bank of India
SCHAEFFLER,258817,Automobile and Auto Components,Automobile and Auto Components,Schaeffler India Ltd.
SCHNEIDER,7995905,Capital Goods,Capital Goods,Schneider Electric Infrastructure Ltd.
SCI,780289,Services,Services,Shipping Corporation of India Ltd.
SHREECEM,794369,Construction Materials,Construction Materials,Shree Cement Ltd.
SHRIRAMFIN,1102337,Financial Services,Financial Services,Shriram Finance Ltd.
SHYAMMETL,1201409,Capital Goods,Capital Goods,Shyam Metalics and Energy Ltd.
SIEMENS,806401,Capital Goods,Capital Goods,Siemens Ltd.
SIGNATURE,4798209,Realty,Realty,Signatureglobal (India) Ltd.
SJVN,4834049,Power,Power,SJVN Ltd.
SOBHA,3539457,Realty,Realty,Sobha Ltd.
SOLARINDS,3412993,Chemicals,Chemicals,Solar Industries India Ltd.
SONACOMS,1199105,Automobile and Auto Components,Automobile and Auto Components,Sona BLW Precision Forgings Ltd.
SONATSOFTW,1688577,Information Technology,Information Technology,Sonata Software Ltd.
SPLPETRO,2461953,Chemicals,Chemicals,Supreme Petrochem Ltd.
SRF,837889,Chemicals,Chemicals,SRF Ltd.
STARHEALTH,1813249,Financial Services,Financial Services,Star Health and Allied Insurance Company Ltd.
SUMICHEM,4378881,Chemicals,Chemicals,Sumitomo Chemical India Ltd.
SUNDARMFIN,854785,Financial Services,Financial Services,Sundaram Finance Ltd.
SUNPHARMA,857857,Healthcare,Healthcare,Sun Pharmaceutical Industries Ltd.
SUNTV,3431425,Media Entertainment & Publication,Media Entertainment & Publication,Sun TV Network Ltd.
SUPREMEIND,860929,Capital Goods,Capital Goods,Supreme Industries Ltd.
SUZLON,3076609,Capital Goods,Capital Goods,Suzlon Energy Ltd.
SWANCORP,6936321,Chemicals,Chemicals,Swan Corp Ltd.
SWIGGY,6928897,Consumer Services,Consumer Services,Swiggy Ltd.
SYNGENE,2622209,Healthcare,Healthcare,Syngene International Ltd.
SYRMA,2763009,Capital Goods,Capital Goods,Syrma SGS Technology Ltd.
TARIL,3884545,Capital Goods,Capital Goods,Transformers And Rectifiers (India) Ltd.
TATACAP,194371841,Financial Services,Financial Services,Tata Capital Ltd.
TATACHEM,871681,Chemicals,Chemicals,Tata Chemicals Ltd.
TATACOMM,952577,Telecommunication,Telecommunication,Tata Communications Ltd.
TATACONSUM,878593,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Tata Consumer Products Ltd.
TATAELXSI,873217,Information Technology,Information Technology,Tata Elxsi Ltd.
TATAINVEST,414977,Financial Services,Financial Services,Tata Investment Corporation Ltd.
TATAPOWER,877057,Power,Power,Tata Power Co. Ltd.
TATASTEEL,895745,Metals & Mining,Metals & Mining,Tata Steel Ltd.
TATATECH,5195009,Information Technology,Information Technology,Tata Technologies Ltd.
TBOTEK,6077441,Consumer Services,Consumer Services,TBO Tek Ltd.
TCS,2953217,Information Technology,Information Technology,Tata Consultancy Services Ltd.
TECHM,3465729,Information Technology,Information Technology,Tech Mahindra Ltd.
TECHNOE,1649921,Construction,Construction,Techno Electric & Engineering Company Ltd.
TEGA,1818881,Capital Goods,Capital Goods,Tega Industries Ltd.
TEJASNET,5409537,Telecommunication,Telecommunication,Tejas Networks Ltd.
TENNIND,194529281,Automobile and Auto Components,Automobile and Auto Components,Tenneco Clean Air India Ltd.
THELEELA,193795585,Consumer Services,Consumer Services,Leela Palaces Hotels & Resorts Ltd.
THERMAX,889601,Capital Goods,Capital Goods,Thermax Ltd.
TIINDIA,79873,Automobile and Auto Components,Automobile and Auto Components,Tube Investments of India Ltd.
TIMKEN,3634689,Capital Goods,Capital Goods,Timken India Ltd.
TITAGARH,3945985,Capital Goods,Capital Goods,Titagarh Rail Systems Ltd.
TITAN,897537,Consumer Durables,Consumer Durables,Titan Company Ltd.
TMCV,194504193,Capital Goods,Capital Goods,Tata Motors Ltd.
TMPV,884737,Automobile and Auto Components,Automobile and Auto Components,Tata Motors Passenger Vehicles Ltd.
TORNTPHARM,900609,Healthcare,Healthcare,Torrent Pharmaceuticals Ltd.
TORNTPOWER,3529217,Power,Power,Torrent Power Ltd.
TRAVELFOOD,193931521,Consumer Services,Consumer Services,Travel Food Services Ltd.
TRENT,502785,Consumer Services,Consumer Services,Trent Ltd.
TRIDENT,2479361,Textiles,Textiles,Trident Ltd.
TRITURBINE,6549505,Capital Goods,Capital Goods,Triveni Turbine Ltd.
TTML,2292225,Telecommunication,Telecommunication,Tata Teleservices (Maharashtra) Ltd.
TVSMOTOR,2170625,Automobile and Auto Components,Automobile and Auto Components,TVS Motor Company Ltd.
UBL,4278529,Fast Moving Consumer Goods,Fast Moving Consumer Goods,United Breweries Ltd.
UCOBANK,2873089,Financial Services,Financial Services,UCO Bank
ULTRACEMCO,2952193,Construction Materials,Construction Materials,UltraTech Cement Ltd.
UNIONBANK,2752769,Financial Services,Financial Services,Union Bank of India
UNITDSPR,2674433,Fast Moving Consumer Goods,Fast Moving Consumer Goods,United Spirits Ltd.
UNOMINDA,3623425,Automobile and Auto Components,Automobile and Auto Components,UNO Minda Ltd.
UPL,2889473,Chemicals,Chemicals,UPL Ltd.
URBANCO,194325505,Consumer Services,Consumer Services,Urban Company Ltd.
USHAMART,2263041,Capital Goods,Capital Goods,Usha Martin Ltd.
UTIAMC,134913,Financial Services,Financial Services,UTI Asset Management Company Ltd.
VBL,4843777,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Varun Beverages Ltd.
VEDL,784129,Metals & Mining,Metals & Mining,Vedanta Ltd.
VIJAYA,1429761,Healthcare,Healthcare,Vijaya Diagnostic Centre Ltd.
VMM,7160065,Consumer Services,Consumer Services,Vishal Mega Mart Ltd.
VOLTAS,951809,Consumer Durables,Consumer Durables,Voltas Ltd.
VTL,530689,Textiles,Textiles,Vardhman Textiles Ltd.
WAAREEENER,6632193,Capital Goods,Capital Goods,Waaree Energies Ltd.
WELCORP,3026177,Capital Goods,Capital Goods,Welspun Corp Ltd.
WELSPUNLIV,2880769,Textiles,Textiles,Welspun Living Ltd.
WHIRLPOOL,4610817,Consumer Durables,Consumer Durables,Whirlpool of India Ltd.
WIPRO,969473,Information Technology,Information Technology,Wipro Ltd.
WOCKPHARMA,1921537,Healthcare,Healthcare,Wockhardt Ltd.
YESBANK,3050241,Financial Services,Financial Services,Yes Bank Ltd.
ZEEL,975873,Media Entertainment & Publication,Media Entertainment & Publication,Zee Entertainment Enterprises Ltd.
ZENSARTECH,275457,Information Technology,Information Technology,Zensar Technolgies Ltd.
ZENTEC,1922049,Capital Goods,Capital Goods,Zen Technologies Ltd.
ZFCVINDIA,4330241,Automobile and Auto Components,Automobile and Auto Components,ZF Commercial Vehicle Control Systems India Ltd.
ZYDUSLIFE,2029825,Healthcare,Healthcare,Zydus Lifesciences Ltd.
ZYDUSWELL,4514561,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Zydus Wellness Ltd.
